City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Departamento de Maldonado,90,UY,1599100713,100,-34.67,-54.92,55.0,3.36
Busselton,80,AU,1599100713,71,-33.65,115.33,62.01,5.99
Gogrial,98,SS,1599100714,96,8.53,28.1,71.02,3.94
Paamiut,33,GL,1599100714,61,61.99,-49.67,44.04,4.63
Port Lincoln,54,AU,1599100356,55,-34.73,135.87,59.45,20.74
Dingle,65,PH,1599100677,66,11.0,122.67,88.63,2.64
Bredasdorp,10,ZA,1599100714,87,-34.53,20.04,53.6,2.24
George Town,20,MY,1599100714,74,5.41,100.34,86.0,6.93
Nouakchott,40,MR,1599100478,74,18.09,-15.98,84.2,9.17
Tazovsky,15,RU,1599100618,86,67.47,78.7,45.25,12.95
Saint George,1,US,1599100031,11,37.1,-113.58,97.0,12.75
Carnarvon,14,AU,1599100227,49,-24.87,113.63,69.8,14.99
Pevek,99,RU,1599100625,81,69.7,170.31,37.18,11.59
Escárcega,77,MX,1599100715,97,18.61,-90.75,75.99,2.15
Thompson,75,CA,1599100210,87,55.74,-97.86,46.4,6.93
Tasiilaq,97,GL,1599099989,94,65.61,-37.64,39.2,5.82
Umba,0,RU,1599100659,86,66.69,34.34,50.99,7.2
Khatanga,100,RU,1599100620,62,71.97,102.5,49.66,18.5
Naze,75,JP,1599100295,70,28.37,129.48,87.8,6.93
Vestmannaeyjar,100,IS,1599100328,86,63.44,-20.27,50.54,7.74
Teknāf,5,BD,1599100716,66,20.86,92.31,85.39,0.13
Upernavik,85,GL,1599100275,77,72.79,-56.15,38.12,4.27
Aripuanã,34,BR,1599100354,41,-9.17,-60.63,79.21,0.94
Provideniya,75,RU,1599100296,57,64.38,-173.3,50.0,11.18
Kieta,42,PG,1599100716,63,-6.22,155.63,85.8,4.25
Daye,0,CN,1599100716,53,30.08,114.95,84.29,3.98
Bluff,88,NZ,1599100717,64,-46.6,168.33,53.37,5.41
Sal Rei,40,CV,1599100717,78,16.18,-22.92,77.0,11.41
Santa Cruz de la Sierra,0,BO,1599100689,63,-17.8,-63.17,64.4,5.82
Neyvo-Shaytanskiy,0,RU,1599100717,83,57.73,61.25,44.82,9.42
São Filipe,80,CV,1599100269,84,14.9,-24.5,78.3,12.17
Khovd,0,MN,1599100718,25,48.01,91.64,68.68,2.93
Ilulissat,100,GL,1599100349,80,69.22,-51.1,39.2,4.7
Esperance,39,AU,1599100665,67,-33.87,121.9,57.2,17.22
Dmitriyevka,0,RU,1599100718,93,54.75,55.33,41.0,6.71
Lata,0,PT,1599100718,72,40.16,-8.33,61.0,3.18
Goderich,0,CA,1599100203,81,43.75,-81.72,73.0,2.86
Russell,1,US,1599100718,94,32.35,-85.2,82.4,3.36
Carutapera,76,BR,1599100346,87,-1.2,-46.02,76.82,6.06
Hobart,75,AU,1599100672,51,-42.88,147.33,62.01,11.41
Te Anau,69,NZ,1599100635,60,-45.42,167.72,54.81,3.53
Salalah,90,OM,1599100350,100,17.02,54.09,77.0,6.93
Saskylakh,100,RU,1599100262,64,71.92,114.08,51.87,9.84
Kasongo-Lunda,6,CD,1599100719,80,-6.47,16.82,74.01,1.07
Verkhoyansk,38,RU,1599100308,38,67.54,133.38,59.97,4.18
Saint Anthony,1,US,1599100719,49,45.02,-93.22,73.4,10.29
Huancavelica,100,PE,1599100720,88,-12.77,-74.98,40.03,2.28
Erdenet,81,MN,1599100720,57,49.03,104.08,63.25,6.38
Beyneu,0,KZ,1599100437,27,45.32,55.2,77.41,7.09
Lavrentiya,99,RU,1599100331,73,65.58,-171.0,41.95,8.84
Goma,84,CD,1599100721,52,-1.68,29.22,62.6,2.59
Darlington,99,GB,1599100721,82,54.52,-1.55,62.01,5.01
Saint-Philippe,15,RE,1599100273,72,-21.36,55.77,64.4,6.93
Makakilo City,75,US,1599100245,66,21.35,-158.09,87.8,11.41
Tazmalt,20,DZ,1599100721,88,36.39,4.4,66.2,4.7
San Quintín,5,MX,1599100309,84,30.48,-115.95,68.47,11.21
Utete,21,TZ,1599100722,93,-7.99,38.76,67.6,1.07
Saint Paul Harbor,90,US,1599100275,71,57.79,-152.41,55.4,4.7
Taltal,0,CL,1599100621,76,-25.4,-70.48,53.6,2.28
Palana,8,RU,1599100722,71,59.12,159.97,50.14,11.07
Nkhotakota,100,MW,1599100722,73,-12.93,34.3,70.57,15.35
Sola,75,VU,1599100722,82,-13.88,167.55,78.31,29.37
Rantauprapat,91,ID,1599100723,76,2.1,99.83,81.82,1.1
Kahului,40,US,1599100624,48,20.89,-156.47,86.0,21.92
Severnoye,100,RU,1599100723,93,56.35,78.36,57.18,10.16
Srednekolymsk,55,RU,1599100367,56,67.45,153.68,46.85,9.37
Maragogi,8,BR,1599100695,86,-9.01,-35.22,72.12,9.44
Ha Giang,95,VN,1599100723,47,22.83,104.98,94.24,2.26
Gorokhovets,0,RU,1599100724,100,56.19,42.7,41.0,5.55
Fukuechō,40,JP,1599100724,74,32.69,128.84,82.4,12.75
Suntar,88,RU,1599100724,78,62.14,117.63,58.73,7.43
Jiancheng,100,CN,1599100428,69,30.39,104.55,82.0,2.24
Hasaki,40,JP,1599100005,84,35.73,140.83,91.99,12.75
Lorengau,51,PG,1599100311,65,-2.02,147.27,86.25,6.98
Tiksi,10,RU,1599100256,75,71.69,128.87,42.04,11.99
Birao,100,CF,1599100724,97,10.28,22.79,68.61,5.03
Neryungri,0,RU,1599100725,48,56.67,124.65,64.18,7.07
Hilo,20,US,1599100608,54,19.73,-155.09,84.2,5.82
Seoul,75,KR,1599100289,69,37.57,126.98,77.0,28.86
Namatanai,14,PG,1599100289,63,-3.67,152.43,86.54,1.97
Kapaa,20,US,1599100725,66,22.08,-159.32,84.2,10.29
Makkah al Mukarramah,16,SA,1599100725,63,21.43,39.83,83.16,3.36
Narsaq,0,GL,1599100726,56,60.92,-46.05,42.8,8.05
Iranshahr,0,IR,1599100726,14,27.2,60.68,82.4,9.17
Mar del Plata,90,AR,1599100726,100,-38.0,-57.56,46.99,13.87
Saldanha,5,ZA,1599100257,93,-33.01,17.94,55.4,8.05
Lüderitz,0,NA,1599100288,56,-26.65,15.16,52.77,6.04
Tomatlán,8,MX,1599100264,93,19.93,-105.25,76.62,1.39
Mossamedes,0,AO,1599100608,88,-15.2,12.15,61.23,2.62
Hofn,100,IS,1599100385,75,64.25,-15.21,51.04,18.66
Biak,96,ID,1599100349,73,-0.91,122.88,82.8,6.29
Mahébourg,75,MU,1599100626,94,-20.41,57.7,68.0,6.93
Nhulunbuy,40,AU,1599100727,62,-12.23,136.77,84.2,14.99
Whitianga,0,NZ,1599100727,61,-36.83,175.7,60.01,8.99
Nanortalik,0,GL,1599100145,71,60.14,-45.24,42.71,5.41
Paliā Kalān,41,IN,1599100728,76,28.45,80.58,84.87,11.83
Cidreira,1,BR,1599100277,93,-30.18,-50.21,62.01,12.77
Bambous Virieux,75,MU,1599100263,94,-20.34,57.76,68.0,6.93
Norman Wells,75,CA,1599100272,93,65.28,-126.83,51.8,5.82
Krasnyy Kut,0,RU,1599100728,75,50.95,46.97,55.9,12.68
Asău,78,RO,1599100609,82,46.43,26.4,64.0,2.71
Iqaluit,90,CA,1599100299,93,63.75,-68.51,42.8,10.29
Nantucket,90,US,1599100533,100,41.28,-70.1,69.8,11.41
Shimoda,75,JP,1599100286,79,34.67,138.95,87.8,14.99
Yellowknife,20,CA,1599100501,57,62.46,-114.35,50.0,6.93
Ewo,38,CG,1599100430,88,-0.87,14.82,72.84,3.27
Bethel,97,US,1599100284,97,41.37,-73.41,73.0,4.09
Barrow,90,US,1599100622,86,71.29,-156.79,39.2,18.34
Tchaourou,95,BJ,1599100729,99,8.89,2.6,70.05,4.56
Port Elizabeth,0,ZA,1599100729,70,-33.92,25.57,48.2,2.24
Anadyr,40,RU,1599100649,62,64.75,177.48,51.8,8.95
Tarnos,0,FR,1599100730,87,43.54,-1.46,55.4,5.82
Clyde River,90,CA,1599100268,86,70.47,-68.59,41.0,11.41
Upata,100,VE,1599100730,96,8.01,-62.4,71.55,4.09
Castro,11,BR,1599099998,97,-24.79,-50.01,57.34,5.53
Nísia Floresta,20,BR,1599100730,83,-6.09,-35.21,73.4,10.29
Herrán,75,CO,1599100731,94,7.51,-72.48,73.4,2.24
São João da Barra,0,BR,1599100656,87,-21.64,-41.05,71.01,8.72
Phan Thiet,100,VN,1599100627,75,10.93,108.1,82.78,4.85
Hualmay,26,PE,1599100659,85,-11.1,-77.61,59.0,9.01
Cajamarca,40,PE,1599100731,74,-7.16,-78.5,53.51,2.75
Sedalia,1,US,1599100731,78,38.7,-93.23,72.0,3.18
Kiryat Gat,0,IL,1599100279,76,31.61,34.76,78.01,2.91
Kushima,75,JP,1599100316,58,31.46,131.23,87.8,18.34
Gwadar,0,PK,1599100732,60,25.12,62.33,85.06,1.99
Dongargaon,80,IN,1599100732,82,20.97,80.85,76.53,3.47
Ambulu,25,ID,1599100732,66,-8.35,113.61,84.54,6.76
Sur,33,OM,1599100679,53,22.57,59.53,85.66,2.46
Hambantota,40,LK,1599100092,100,6.12,81.12,78.8,4.7
Caucayá,95,CO,1599100733,92,-0.19,-74.78,72.37,0.69
Andrews,1,US,1599100733,47,32.32,-102.55,78.8,10.29
Nome,75,US,1599100290,66,64.5,-165.41,51.01,21.92
Talnakh,97,RU,1599100273,100,69.49,88.4,41.0,17.9
Beidao,27,CN,1599100733,45,34.57,105.89,73.69,0.87
Yanam,20,IN,1599100733,83,16.73,82.22,82.4,4.7
Skibbereen,40,IE,1599100733,100,51.55,-9.27,55.4,6.93
Chokurdakh,67,RU,1599100261,64,70.63,147.92,42.64,10.56
Key West,20,US,1599100734,74,24.56,-81.78,87.8,16.11
Guerrero Negro,0,MX,1599100070,73,27.98,-114.06,73.89,15.5
Broome,90,US,1599100734,100,42.25,-75.83,72.0,8.05
Nikolskoye,38,RU,1599100623,93,59.7,30.79,54.0,11.18
Ji’an,0,CN,1599100315,49,27.12,114.98,87.93,6.04
Nardaran,20,AZ,1599100734,93,40.56,50.01,66.2,4.7
Hitchin,90,GB,1599100735,93,51.95,-0.27,61.0,12.75
Mehamn,100,NO,1599100735,76,71.04,27.85,51.42,9.13
Lompoc,1,US,1599100287,77,34.64,-120.46,62.6,10.65
Ambilobe,2,MG,1599100362,87,-13.2,49.05,63.1,2.93
Hithadhoo,100,MV,1599100639,72,-0.6,73.08,82.17,10.22
Jūybār,0,IR,1599100735,88,36.64,52.91,68.0,2.24
Pijijiapan,37,MX,1599100736,84,15.7,-93.23,77.9,1.3
Kununurra,0,AU,1599100291,27,-15.77,128.73,91.4,3.36
Angoche,56,MZ,1599100736,79,-16.23,39.91,72.66,15.55
Batemans Bay,91,AU,1599100333,50,-35.72,150.18,75.99,5.99
College,75,US,1599100087,58,64.86,-147.8,57.2,4.7
Katsuura,40,JP,1599100276,83,35.13,140.3,88.0,17.22
Ancud,100,CL,1599100305,94,-41.87,-73.82,46.99,6.49
Hong Kong,2,HK,1599100271,59,22.29,114.16,93.99,5.99
Qaqortoq,0,GL,1599100630,56,60.72,-46.03,42.8,8.05
Oliver,20,CA,1599100737,53,49.18,-119.55,73.4,5.82
Harper,84,LR,1599100670,88,4.38,-7.72,75.25,8.93
Salym,100,RU,1599100737,89,60.06,71.48,45.52,11.34
Soe,7,ID,1599100623,39,-9.86,124.28,84.58,11.41
Cherskiy,24,RU,1599100320,56,68.75,161.3,46.18,9.48
Tehachapi,1,US,1599100737,41,35.13,-118.45,75.99,10.29
Belyy Yar,98,RU,1599100342,82,53.6,91.39,66.2,4.47
Chui,100,UY,1599100035,93,-33.7,-53.46,59.94,16.37
Paciran,78,ID,1599100738,60,-6.88,112.38,86.2,4.29
Karratha,0,AU,1599100080,15,-20.74,116.85,84.51,13.29
Pankovka,86,RU,1599100738,79,58.5,31.2,57.27,10.6
Coyhaique,90,CL,1599100260,80,-45.58,-72.07,41.0,3.36
Kaitangata,38,NZ,1599100275,44,-46.28,169.85,59.0,7.0
Port Blair,100,IN,1599100313,76,11.67,92.75,84.52,13.02
Armidale,0,AU,1599100738,72,-30.52,151.65,64.0,4.0
Saint-Léonard,93,CA,1599100739,83,47.17,-67.92,64.0,4.0
Jasper,90,US,1599100739,94,37.2,-94.35,73.99,4.7
Baracoa,24,CU,1599100739,85,20.35,-74.5,81.1,9.06
Aurangabad,40,IN,1599100507,94,19.88,75.33,73.4,2.42
Avanigadda,20,IN,1599100739,83,16.02,80.92,84.2,6.04
Magistral'nyy,90,RU,1599100739,73,56.17,107.45,61.34,3.96
Santa Fe,92,AR,1599100694,90,-31.63,-60.7,51.01,5.99
Cockburn Town,0,TC,1599100082,81,21.46,-71.14,83.41,20.18
Kavaratti,100,IN,1599100365,78,10.57,72.64,81.36,12.06
Tostedt,0,DE,1599100740,93,53.28,9.72,50.0,2.24
Hamilton,1,US,1599100036,88,39.18,-84.53,75.2,1.19
Decatur,1,US,1599100492,88,39.84,-88.95,73.4,4.59
Barentin,100,FR,1599100740,93,49.55,0.96,60.01,4.7
Los Aquijes,12,PE,1599100741,82,-14.1,-75.69,61.0,3.36
Shihezi,0,CN,1599100741,15,44.3,86.03,87.37,7.25
Pisco,0,PE,1599100271,82,-13.7,-76.22,61.0,3.36
Cabo San Lucas,20,MX,1599100101,83,22.89,-109.91,82.0,10.29
Pathein,28,MM,1599100741,74,16.78,94.73,85.19,3.78
Baghdad,0,IQ,1599100457,39,33.34,44.4,82.4,5.03
Port-Gentil,100,GA,1599100741,85,-0.72,8.78,75.11,12.57
Río Cuarto,4,AR,1599100551,93,-33.13,-64.35,39.2,6.93
Isiro,100,CD,1599100742,98,2.77,27.62,65.19,0.54
Berdigestyakh,98,RU,1599100742,44,62.1,126.7,66.47,9.64
Malindi,8,KE,1599100742,80,-3.22,40.12,74.17,11.63
Kloulklubed,75,PW,1599100249,66,7.04,134.26,89.6,8.05
San Patricio,2,MX,1599100635,83,19.22,-104.7,78.73,5.3
Kaliua,0,TZ,1599100743,53,-5.06,31.79,63.48,4.61
Zhezkazgan,75,KZ,1599100294,28,47.8,67.71,68.0,6.71
Raymondville,1,US,1599100743,62,26.48,-97.78,87.01,10.29
Halászi,15,HU,1599100743,89,47.89,17.33,57.0,0.36
Taoudenni,91,ML,1599100374,26,22.68,-3.98,97.12,8.32
Mīrābād,0,AF,1599100744,18,30.44,61.84,77.59,22.21
Novy Urengoy,100,RU,1599100583,76,66.08,76.63,46.87,13.49
Virginia Beach,75,US,1599100121,83,36.85,-75.98,84.99,9.17
São Félix do Xingu,0,BR,1599100744,44,-6.64,-51.99,73.63,1.34
Kisangani,100,CD,1599100744,98,0.52,25.2,69.87,1.86
Valentín Gómez Farías,69,MX,1599100744,54,28.22,-106.58,78.01,3.0
Laas,5,IT,1599100293,100,46.62,10.7,44.6,3.36
Dudinka,73,RU,1599100615,100,69.41,86.18,41.0,17.9
Simao,100,CN,1599100745,50,22.79,100.97,83.82,1.99
Ponta do Sol,40,PT,1599100008,73,32.67,-17.1,71.6,8.05
Pingzhuang,100,CN,1599100745,57,42.04,119.29,63.36,14.79
Bogatyye Saby,0,RU,1599100745,86,56.01,50.45,46.67,6.31
Bima,63,ID,1599100745,44,-8.47,118.72,93.58,5.73
Yumen,0,CN,1599100746,14,40.28,97.2,80.28,11.86
Niono,100,ML,1599100746,96,14.25,-5.99,70.11,11.45
Machalí,37,CL,1599100746,63,-34.18,-70.67,47.77,0.87
Pitimbu,20,BR,1599100746,100,-7.47,-34.81,69.8,4.7
Kamyshlov,0,RU,1599100747,82,56.84,62.71,45.61,12.24
Tyrma,100,RU,1599100747,82,50.08,132.17,67.87,3.44
Port Hardy,75,CA,1599100380,82,50.7,-127.42,59.0,5.82
Pierre,1,US,1599100499,26,44.37,-100.35,81.0,6.93
Moura,0,PT,1599100747,49,38.14,-7.45,68.0,6.93
Pangai,75,TO,1599100687,78,-19.8,-174.35,82.4,6.93
Sitka,90,US,1599100248,93,57.05,-135.33,53.6,3.36
Mecayapan,33,MX,1599100747,92,18.22,-94.83,74.17,5.03
Burnie,25,AU,1599100748,77,-41.07,145.92,54.0,28.99
Faanui,44,PF,1599100625,79,-16.48,-151.75,77.9,19.37
Youkounkoun,92,GN,1599100748,97,12.53,-13.13,71.53,3.89
Gombong,84,ID,1599100748,66,-7.61,109.51,83.79,5.93
Petropavlovsk-Kamchatskiy,75,RU,1599100614,68,53.05,158.65,64.4,4.47
Sørland,83,NO,1599100344,74,67.67,12.69,56.98,16.87
Vanimo,75,PG,1599100749,60,-2.67,141.3,87.19,8.08
Alanya,0,TR,1599100749,88,36.54,32.0,69.8,4.7
Hwange,4,ZW,1599100749,64,-18.37,26.5,62.06,4.81
Alofi,75,NU,1599100255,74,-19.06,-169.92,82.4,12.75
Pala,100,TD,1599100699,95,9.36,14.9,71.46,3.02
Coquimbo,36,CL,1599100345,81,-29.95,-71.34,51.8,2.24
Kachīry,30,KZ,1599100750,64,53.07,76.1,66.15,15.99
Zhigansk,100,RU,1599100281,88,66.77,123.37,49.35,21.85
Saint-Donat-de-Montcalm,14,CA,1599100750,83,46.32,-74.22,69.01,5.64
Santa Cruz Cabrália,20,BR,1599100750,69,-16.28,-39.02,73.4,8.05
Toruń,51,PL,1599100750,93,53.01,18.6,54.0,9.17
Kaohsiung City,75,TW,1599100662,70,22.62,120.31,87.8,6.93
Bubaque,100,GW,1599100364,81,11.28,-15.83,79.52,18.86
Tegul'det,100,RU,1599100751,91,57.31,88.17,64.02,10.11
Belmonte,20,BR,1599100375,69,-15.86,-38.88,73.4,8.05
Catalina,0,US,1599100751,43,32.51,-110.92,91.0,2.66
Urucará,47,BR,1599100682,55,-2.54,-57.76,79.47,2.89
Half Moon Bay,90,US,1599100364,82,37.46,-122.43,66.0,6.93
Beloha,4,MG,1599100751,76,-25.17,45.05,56.28,8.75
Bundibugyo,0,UG,1599100751,81,0.74,30.04,65.64,3.47
Poronaysk,82,RU,1599100752,82,49.22,143.12,70.14,4.83
Pahrump,0,US,1599100011,10,36.21,-115.98,96.01,5.99
Codrington,98,AU,1599100383,79,-38.27,141.97,54.63,24.94
Sawtell,0,AU,1599100752,42,-30.38,153.1,80.6,14.99
Dingcheng,0,CN,1599100752,49,32.13,115.04,84.13,5.97
Haileybury,75,CA,1599100752,67,47.45,-79.64,59.0,8.05
Montrose,1,US,1599100753,29,38.42,-108.27,84.2,5.82
Port Macquarie,0,AU,1599100753,49,-31.43,152.92,82.0,13.42
Polewali,29,ID,1599100753,68,-3.43,119.34,84.81,0.81
Garoowe,1,SO,1599100753,71,8.41,48.48,73.96,18.72
Klaksvík,52,FO,1599100312,100,62.23,-6.59,51.8,14.99
Hamina,70,FI,1599100753,93,60.57,27.2,52.0,8.05
Jalu,0,LY,1599100615,23,29.03,21.55,79.77,7.94
Yichang,0,CN,1599100754,42,30.71,111.28,89.01,3.0
Mersing,20,MY,1599100754,88,2.43,103.84,82.4,2.24
Masuguru,99,TZ,1599100754,79,-11.37,38.42,69.69,3.38
Ashnak,40,AM,1599100754,29,40.33,43.92,77.0,9.17
Gandia,0,ES,1599100755,8,38.97,-0.18,71.01,3.65
Fort Thomas,1,US,1599100755,88,39.08,-84.45,75.99,1.25
Whitehorse,75,CA,1599100755,62,60.72,-135.05,55.99,10.29
Lakefield,1,US,1599100755,40,43.68,-95.17,72.0,10.29
Havelock,1,US,1599100718,83,34.88,-76.9,84.99,8.05
Okhotsk,100,RU,1599100322,89,59.38,143.3,53.83,7.7
Acapulco de Juárez,20,MX,1599100756,78,16.86,-99.89,82.4,3.36
Turan,20,VN,1599100756,56,16.07,108.22,93.2,1.12
Grand Gaube,77,MU,1599100338,89,-20.01,57.66,68.0,3.0
Portland,20,US,1599100302,48,45.52,-122.68,84.99,8.05
Eau Claire,1,US,1599100756,49,44.81,-91.5,69.8,9.17
Chapais,90,CA,1599100332,93,49.78,-74.85,55.4,10.29
Vrangel',95,RU,1599100757,94,42.73,133.08,70.29,32.48
Rock Sound,0,BS,1599100288,81,24.9,-76.2,84.47,16.78
Oddur,61,SO,1599100291,75,4.12,43.89,69.24,13.04
Umluj,4,SA,1599100346,49,25.02,37.27,85.98,8.97
Alice Springs,0,AU,1599100535,18,-23.7,133.88,80.6,10.29
Sfântu Gheorghe,99,RO,1599100757,78,45.87,25.78,62.01,1.01
Kralendijk,81,BQ,1599100758,83,12.15,-68.27,82.4,5.82
Dunedin,37,NZ,1599100260,65,-45.87,170.5,53.01,17.0
Lebu,100,CL,1599100011,81,-37.62,-73.65,46.42,6.42
Opuwo,10,NA,1599100758,32,-18.06,13.84,59.58,3.78
Arman',77,RU,1599100672,53,59.7,150.17,59.16,3.74
Ostrovnoy,100,RU,1599100061,78,68.05,39.51,49.86,16.4
Kamina,0,CD,1599100758,40,-8.74,24.99,66.52,3.96
Xining,93,CN,1599100758,41,36.62,101.77,63.03,1.95
Jutaí,26,BR,1599100759,77,-5.18,-68.9,75.69,2.01
Mandurah,75,AU,1599100759,67,-32.55,115.7,66.0,8.05
San Francisco,20,US,1599100570,72,37.77,-122.42,63.0,19.46
Bloemfontein,1,ZA,1599100604,93,-29.12,26.21,51.8,6.93
Vanavara,6,RU,1599100624,70,60.34,102.28,55.47,10.07
Menongue,5,AO,1599100670,68,-14.66,17.69,60.21,1.21
Batagay,6,RU,1599100759,36,67.63,134.63,60.55,4.36
Saurimo,16,AO,1599100314,65,-9.66,20.39,68.11,2.3
Laguna,1,US,1599100616,47,38.42,-121.42,79.0,8.05
Rocha,99,UY,1599100166,90,-34.48,-54.33,57.56,15.95
Arlit,4,NE,1599100626,43,18.74,7.39,89.62,15.19
Morondava,0,MG,1599100760,69,-20.28,44.28,70.21,9.42
Dzhebariki-Khaya,85,RU,1599100760,82,62.22,135.8,57.94,8.08
Nogales,1,MX,1599100760,42,31.31,-110.94,82.4,6.93
Brae,67,GB,1599100363,93,60.4,-1.35,55.4,12.75
Yerbogachën,22,RU,1599100761,68,61.28,108.01,55.8,12.75
Vestmanna,73,FO,1599100761,100,62.16,-7.17,51.8,14.99
Moerai,5,PF,1599100683,85,-22.43,-151.33,72.79,15.12
Havøysund,100,NO,1599100761,81,71.0,24.66,50.0,11.41
Vostok,80,RU,1599100295,61,46.49,135.88,76.69,10.0
Faya,19,SA,1599100761,72,18.39,42.45,64.4,3.36
Youhao,100,CN,1599100762,94,47.87,128.83,64.62,6.11
Micheweni,9,TZ,1599100762,82,-4.97,39.83,73.35,8.7
La Primavera,94,CO,1599100762,92,5.49,-70.41,74.77,5.14
Badiraguato,100,MX,1599100762,90,25.37,-107.52,84.99,1.01
La Ronge,20,CA,1599100285,50,55.1,-105.28,51.8,11.41
Toowoomba,90,AU,1599100762,33,-27.55,151.97,73.4,6.93
Kaniama,39,CD,1599100763,47,-7.57,24.18,67.55,3.83
Jackson,1,US,1599100500,17,42.42,-122.83,98.6,11.41
Necochea,100,AR,1599100259,96,-38.55,-58.74,46.0,2.08
Ust'-Uda,40,RU,1599100763,73,54.17,103.03,60.22,6.24
Panalingaan,26,PH,1599100763,61,8.78,117.42,88.39,2.24
Barinitas,100,VE,1599100763,90,8.76,-70.41,70.54,1.32
Mildura,100,AU,1599100764,32,-34.2,142.15,68.0,14.99
Marana,1,US,1599100547,27,32.44,-111.23,91.99,5.82
Sault Ste. Marie,1,CA,1599100676,67,46.52,-84.33,62.6,3.36
Big Spring,1,US,1599100764,65,32.25,-101.48,78.8,9.17
Andenes,100,NO,1599100764,81,69.31,16.12,53.6,17.22
Nishihara,75,JP,1599100288,79,26.18,127.76,87.8,3.36
Resavica,97,RS,1599100764,77,44.04,21.58,53.85,1.68
Samarai,60,PG,1599100623,87,-10.62,150.67,78.33,17.27
Buraidah,1,SA,1599100765,39,26.33,43.98,80.6,3.36
